amount,balance,cancelYn,date,storeId,transactionId
34306,444,Y,2021-08-04,2033931,cc17167a-c21-4589-9548-000000000031
16220,91,Y,2021-09-05,595361,cc27167a-c22-4589-9548-000000000032
65559,258,Y,2021-10-06,5603431,cc37167a-c23-4589-9548-000000000033
22874,50,Y,2021-11-07,6717131,cc47167a-c24-4589-9548-000000000034
80213,837,Y,2021-12-08,5460431,cc57167a-c25-4589-9548-000000000035
85255,869,Y,2021-01-09,2033931,cc67167a-c26-4589-9548-000000000036
78407,815,Y,2021-02-10,595361,cc77167a-c27-4589-9548-000000000037
40356,563,N,2021-03-11,5603431,cc87167a-c28-4589-9548-000000000038
63112,999,N,2021-04-12,6717131,cc97167a-c29-4589-9548-000000000039
84191,746,Y,2021-05-13,5460431,cc07167a-c20-4589-9548-000000000040
42167,88,N,2021-06-14,2033931,cc17167a-c21-4589-9548-000000000041
51132,31,N,2021-07-15,595361,cc27167a-c22-4589-9548-000000000042
98351,409,N,2021-08-16,5603431,cc37167a-c23-4589-9548-000000000043
26060,993,N,2021-09-17,6717131,cc47167a-c24-4589-9548-000000000044
8534,208,Y,2021-10-18,5460431,cc57167a-c25-4589-9548-000000000045
51497,136,N,2021-11-19,2033931,cc67167a-c26-4589-9548-000000000046
62477,489,Y,2021-12-20,595361,cc77167a-c27-4589-9548-000000000047
89694,663,Y,2021-01-21,5603431,cc87167a-c28-4589-9548-000000000048
84404,936,N,2021-02-22,6717131,cc97167a-c29-4589-9548-000000000049
62108,876,N,2021-03-23,5460431,cc07167a-c20-4589-9548-000000000050
73808,426,N,2021-04-24,2033931,cc17167a-c21-4589-9548-000000000051
80238,934,Y,2021-05-25,595361,cc27167a-c22-4589-9548-000000000052
68458,62,Y,2021-06-26,5603431,cc37167a-c23-4589-9548-000000000053
63298,624,Y,2021-07-27,6717131,cc47167a-c24-4589-9548-000000000054
76296,131,Y,2021-08-28,5460431,cc57167a-c25-4589-9548-000000000055
23478,908,Y,2021-09-01,2033931,cc67167a-c26-4589-9548-000000000056
9154,897,N,2021-10-02,595361,cc77167a-c27-4589-9548-000000000057
46274,44,N,2021-11-03,5603431,cc87167a-c28-4589-9548-000000000058
61349,766,Y,2021-12-04,6717131,cc97167a-c29-4589-9548-000000000059
94123,891,Y,2021-01-05,5460431,cc07167a-c20-4589-9548-000000000060
25880,458,N,2021-02-06,2033931,cc17167a-c21-4589-9548-000000000061
28718,907,Y,2021-03-07,595361,cc27167a-c22-4589-9548-000000000062
9684,107,Y,2021-04-08,5603431,cc37167a-c23-4589-9548-000000000063
9670,140,Y,2021-05-09,6717131,cc47167a-c24-4589-9548-000000000064
49151,630,N,2021-06-10,5460431,cc57167a-c25-4589-9548-000000000065
95032,792,Y,2021-07-11,2033931,cc67167a-c26-4589-9548-000000000066
9388,55,N,2021-08-12,595361,cc77167a-c27-4589-9548-000000000067
32392,244,N,2021-09-13,5603431,cc87167a-c28-4589-9548-000000000068
32900,866,N,2021-10-14,6717131,cc97167a-c29-4589-9548-000000000069
92719,149,N,2021-11-15,5460431,cc07167a-c20-4589-9548-000000000070
30027,86,N,2021-12-16,2033931,cc17167a-c21-4589-9548-000000000071
80022,388,Y,2021-01-17,595361,cc27167a-c22-4589-9548-000000000072
82682,951,Y,2021-02-18,5603431,cc37167a-c23-4589-9548-000000000073
41394,787,Y,2021-03-19,6717131,cc47167a-c24-4589-9548-000000000074
96544,924,Y,2021-04-20,5460431,cc57167a-c25-4589-9548-000000000075
59489,899,Y,2021-05-21,2033931,cc67167a-c26-4589-9548-000000000076
75704,240,Y,2021-06-22,595361,cc77167a-c27-4589-9548-000000000077
55771,562,Y,2021-07-23,5603431,cc87167a-c28-4589-9548-000000000078
81455,872,Y,2021-08-24,6717131,cc97167a-c29-4589-9548-000000000079
68654,467,Y,2021-09-25,5460431,cc07167a-c20-4589-9548-000000000080
29694,718,Y,2021-10-26,2033931,cc17167a-c21-4589-9548-000000000081
10615,765,N,2021-11-27,595361,cc27167a-c22-4589-9548-000000000082
96486,359,Y,2021-12-28,5603431,cc37167a-c23-4589-9548-000000000083
99685,381,N,2021-01-01,6717131,cc47167a-c24-4589-9548-000000000084
81475,270,Y,2021-02-02,5460431,cc57167a-c25-4589-9548-000000000085
50506,372,Y,2021-03-03,2033931,cc67167a-c26-4589-9548-000000000086
70140,283,Y,2021-04-04,595361,cc77167a-c27-4589-9548-000000000087
89294,320,N,2021-05-05,5603431,cc87167a-c28-4589-9548-000000000088
70752,521,N,2021-06-06,6717131,cc97167a-c29-4589-9548-000000000089
93567,901,Y,2021-07-07,5460431,cc07167a-c20-4589-9548-000000000090
21785,371,N,2021-08-08,2033931,cc17167a-c21-4589-9548-000000000091
18297,629,N,2021-09-09,595361,cc27167a-c22-4589-9548-000000000092
7817,492,N,2021-10-10,5603431,cc37167a-c23-4589-9548-000000000093
73782,210,N,2021-11-11,6717131,cc47167a-c24-4589-9548-000000000094
8837,615,Y,2021-12-12,5460431,cc57167a-c25-4589-9548-000000000095
96235,136,Y,2021-01-13,2033931,cc67167a-c26-4589-9548-000000000096
49231,874,N,2021-02-14,595361,cc77167a-c27-4589-9548-000000000097
96233,173,N,2021-03-15,5603431,cc87167a-c28-4589-9548-000000000098
96213,715,N,2021-04-16,6717131,cc97167a-c29-4589-9548-000000000099
2959,998,N,2021-05-17,5460431,cc07167a-c20-4589-9548-000000000100
3415,864,Y,2021-06-18,2033931,cc17167a-c21-4589-9548-000000000101
81841,952,Y,2021-07-19,595361,cc27167a-c22-4589-9548-000000000102
54569,656,N,2021-08-20,5603431,cc37167a-c23-4589-9548-000000000103
17109,579,N,2021-09-21,6717131,cc47167a-c24-4589-9548-000000000104
42992,319,Y,2021-10-22,5460431,cc57167a-c25-4589-9548-000000000105
31608,691,N,2021-11-23,2033931,cc67167a-c26-4589-9548-000000000106
97142,382,Y,2021-12-24,595361,cc77167a-c27-4589-9548-000000000107
80871,517,Y,2021-01-25,5603431,cc87167a-c28-4589-9548-000000000108
50400,54,N,2021-02-26,6717131,cc97167a-c29-4589-9548-000000000109
31430,593,N,2021-03-27,5460431,cc07167a-c20-4589-9548-000000000110
8049,548,N,2021-04-28,2033931,cc17167a-c21-4589-9548-000000000111
5243,536,N,2021-05-01,595361,cc27167a-c22-4589-9548-000000000112
66574,302,Y,2021-06-02,5603431,cc37167a-c23-4589-9548-000000000113
45940,668,Y,2021-07-03,6717131,cc47167a-c24-4589-9548-000000000114
76435,574,N,2021-08-04,5460431,cc57167a-c25-4589-9548-000000000115
54832,193,N,2021-09-05,2033931,cc67167a-c26-4589-9548-000000000116
47126,16,Y,2021-10-06,595361,cc77167a-c27-4589-9548-000000000117
37964,950,Y,2021-11-07,5603431,cc87167a-c28-4589-9548-000000000118
64612,66,Y,2021-12-08,6717131,cc97167a-c29-4589-9548-000000000119
93289,832,N,2021-01-09,5460431,cc07167a-c20-4589-9548-000000000120
92721,482,Y,2021-02-10,2033931,cc17167a-c21-4589-9548-000000000121
40167,837,Y,2021-03-11,595361,cc27167a-c22-4589-9548-000000000122
99470,512,Y,2021-04-12,5603431,cc37167a-c23-4589-9548-000000000123
69653,552,N,2021-05-13,6717131,cc47167a-c24-4589-9548-000000000124
28482,427,Y,2021-06-14,5460431,cc57167a-c25-4589-9548-000000000125
7664,313,Y,2021-07-15,2033931,cc67167a-c26-4589-9548-000000000126
45910,22,N,2021-08-16,595361,cc77167a-c27-4589-9548-000000000127
65589,949,N,2021-09-17,5603431,cc87167a-c28-4589-9548-000000000128
7292,341,Y,2021-10-18,6717131,cc97167a-c29-4589-9548-000000000129
32756,955,Y,2021-11-19,5460431,cc07167a-c20-4589-9548-000000000130
43644,46,Y,2021-12-20,2033931,cc17167a-c21-4589-9548-000000000131
37152,588,N,2021-01-21,595361,cc27167a-c22-4589-9548-000000000132
29235,382,N,2021-02-22,5603431,cc37167a-c23-4589-9548-000000000133
95221,131,Y,2021-03-23,6717131,cc47167a-c24-4589-9548-000000000134
47988,853,Y,2021-04-24,5460431,cc57167a-c25-4589-9548-000000000135
95929,508,N,2021-05-25,2033931,cc67167a-c26-4589-9548-000000000136
61993,857,Y,2021-06-26,595361,cc77167a-c27-4589-9548-000000000137
10089,292,N,2021-07-27,5603431,cc87167a-c28-4589-9548-000000000138
81866,275,N,2021-08-28,6717131,cc97167a-c29-4589-9548-000000000139
83153,832,Y,2021-09-01,5460431,cc07167a-c20-4589-9548-000000000140
99460,350,N,2021-10-02,2033931,cc17167a-c21-4589-9548-000000000141
28615,113,N,2021-11-03,595361,cc27167a-c22-4589-9548-000000000142
33528,708,Y,2021-12-04,5603431,cc37167a-c23-4589-9548-000000000143
59373,600,Y,2021-01-05,6717131,cc47167a-c24-4589-9548-000000000144
58009,399,Y,2021-02-06,5460431,cc57167a-c25-4589-9548-000000000145
40744,787,N,2021-03-07,2033931,cc67167a-c26-4589-9548-000000000146
18848,270,N,2021-04-08,595361,cc77167a-c27-4589-9548-000000000147
34004,765,N,2021-05-09,5603431,cc87167a-c28-4589-9548-000000000148
19801,342,N,2021-06-10,6717131,cc97167a-c29-4589-9548-000000000149
26116,556,N,2021-07-11,5460431,cc07167a-c20-4589-9548-000000000150
75981,823,N,2021-08-12,2033931,cc17167a-c21-4589-9548-000000000151
85861,806,N,2021-09-13,595361,cc27167a-c22-4589-9548-000000000152
260,394,N,2021-10-14,5603431,cc37167a-c23-4589-9548-000000000153
56663,327,Y,2021-11-15,6717131,cc47167a-c24-4589-9548-000000000154
41830,299,Y,2021-12-16,5460431,cc57167a-c25-4589-9548-000000000155
59353,275,Y,2021-01-17,2033931,cc67167a-c26-4589-9548-000000000156
54719,984,N,2021-02-18,595361,cc77167a-c27-4589-9548-000000000157
39706,630,Y,2021-03-19,5603431,cc87167a-c28-4589-9548-000000000158
5817,658,N,2021-04-20,6717131,cc97167a-c29-4589-9548-000000000159
51995,71,Y,2021-05-21,5460431,cc07167a-c20-4589-9548-000000000160
4716,391,N,2021-06-22,2033931,cc17167a-c21-4589-9548-000000000161
82139,717,N,2021-07-23,595361,cc27167a-c22-4589-9548-000000000162
36605,668,Y,2021-08-24,5603431,cc37167a-c23-4589-9548-000000000163
9823,966,N,2021-09-25,6717131,cc47167a-c24-4589-9548-000000000164
43635,789,N,2021-10-26,5460431,cc57167a-c25-4589-9548-000000000165
64670,547,N,2021-11-27,2033931,cc67167a-c26-4589-9548-000000000166
8255,30,N,2021-12-28,595361,cc77167a-c27-4589-9548-000000000167
96540,830,Y,2021-01-01,5603431,cc87167a-c28-4589-9548-000000000168
2769,982,N,2021-02-02,6717131,cc97167a-c29-4589-9548-000000000169
76965,876,N,2021-03-03,5460431,cc07167a-c20-4589-9548-000000000170
66225,160,Y,2021-04-04,2033931,cc17167a-c21-4589-9548-000000000171
67374,354,N,2021-05-05,595361,cc27167a-c22-4589-9548-000000000172
77281,729,N,2021-06-06,5603431,cc37167a-c23-4589-9548-000000000173
13910,102,N,2021-07-07,6717131,cc47167a-c24-4589-9548-000000000174
99277,251,N,2021-08-08,5460431,cc57167a-c25-4589-9548-000000000175
61152,597,N,2021-09-09,2033931,cc67167a-c26-4589-9548-000000000176
22024,544,Y,2021-10-10,595361,cc77167a-c27-4589-9548-000000000177
21393,65,N,2021-11-11,5603431,cc87167a-c28-4589-9548-000000000178
66254,274,Y,2021-12-12,6717131,cc97167a-c29-4589-9548-000000000179
99471,562,Y,2021-01-13,5460431,cc07167a-c20-4589-9548-000000000180
36968,345,N,2021-02-14,2033931,cc17167a-c21-4589-9548-000000000181
28368,796,N,2021-03-15,595361,cc27167a-c22-4589-9548-000000000182
69803,202,N,2021-04-16,5603431,cc37167a-c23-4589-9548-000000000183
29533,45,Y,2021-05-17,6717131,cc47167a-c24-4589-9548-000000000184
69507,827,N,2021-06-18,5460431,cc57167a-c25-4589-9548-000000000185
21048,860,Y,2021-07-19,2033931,cc67167a-c26-4589-9548-000000000186
71914,183,Y,2021-08-20,595361,cc77167a-c27-4589-9548-000000000187
83662,608,Y,2021-09-21,5603431,cc87167a-c28-4589-9548-000000000188
43300,966,N,2021-10-22,6717131,cc97167a-c29-4589-9548-000000000189
6186,123,Y,2021-11-23,5460431,cc07167a-c20-4589-9548-000000000190
40967,714,Y,2021-12-24,2033931,cc17167a-c21-4589-9548-000000000191
22397,16,Y,2021-01-25,595361,cc27167a-c22-4589-9548-000000000192
67925,490,Y,2021-02-26,5603431,cc37167a-c23-4589-9548-000000000193
32523,437,N,2021-03-27,6717131,cc47167a-c24-4589-9548-000000000194
42710,655,N,2021-04-28,5460431,cc57167a-c25-4589-9548-000000000195
52550,503,N,2021-05-01,2033931,cc67167a-c26-4589-9548-000000000196
86375,262,N,2021-06-02,595361,cc77167a-c27-4589-9548-000000000197
55090,398,N,2021-07-03,5603431,cc87167a-c28-4589-9548-000000000198
40979,48,Y,2021-08-04,6717131,cc97167a-c29-4589-9548-000000000199
88049,368,Y,2021-09-05,5460431,cc07167a-c20-4589-9548-000000000200
51412,400,Y,2021-10-06,2033931,cc17167a-c21-4589-9548-000000000201
23063,181,N,2021-11-07,595361,cc27167a-c22-4589-9548-000000000202
9605,441,N,2021-12-08,5603431,cc37167a-c23-4589-9548-000000000203
78593,539,Y,2021-01-09,6717131,cc47167a-c24-4589-9548-000000000204
62844,49,Y,2021-02-10,5460431,cc57167a-c25-4589-9548-000000000205
77420,219,Y,2021-03-11,2033931,cc67167a-c26-4589-9548-000000000206
96504,756,Y,2021-04-12,595361,cc77167a-c27-4589-9548-000000000207
35883,894,Y,2021-05-13,5603431,cc87167a-c28-4589-9548-000000000208
42354,460,N,2021-06-14,6717131,cc97167a-c29-4589-9548-000000000209
13299,742,Y,2021-07-15,5460431,cc07167a-c20-4589-9548-000000000210
31255,679,Y,2021-08-16,2033931,cc17167a-c21-4589-9548-000000000211
69950,90,N,2021-09-17,595361,cc27167a-c22-4589-9548-000000000212
28055,583,Y,2021-10-18,5603431,cc37167a-c23-4589-9548-000000000213
37715,900,Y,2021-11-19,6717131,cc47167a-c24-4589-9548-000000000214
97292,169,N,2021-12-20,5460431,cc57167a-c25-4589-9548-000000000215
88300,213,N,2021-01-21,2033931,cc67167a-c26-4589-9548-000000000216
20673,346,N,2021-02-22,595361,cc77167a-c27-4589-9548-000000000217
82282,525,N,2021-03-23,5603431,cc87167a-c28-4589-9548-000000000218
88535,634,Y,2021-04-24,6717131,cc97167a-c29-4589-9548-000000000219
65781,379,Y,2021-05-25,5460431,cc07167a-c20-4589-9548-000000000220
98479,78,Y,2021-06-26,2033931,cc17167a-c21-4589-9548-000000000221
62550,835,N,2021-07-27,595361,cc27167a-c22-4589-9548-000000000222
98563,336,Y,2021-08-28,5603431,cc37167a-c23-4589-9548-000000000223
74052,79,Y,2021-09-01,6717131,cc47167a-c24-4589-9548-000000000224
30975,229,N,2021-10-02,5460431,cc57167a-c25-4589-9548-000000000225
51934,691,N,2021-11-03,2033931,cc67167a-c26-4589-9548-000000000226
18556,464,N,2021-12-04,595361,cc77167a-c27-4589-9548-000000000227
33222,19,Y,2021-01-05,5603431,cc87167a-c28-4589-9548-000000000228
69597,72,N,2021-02-06,6717131,cc97167a-c29-4589-9548-000000000229
14612,715,N,2021-03-07,5460431,cc07167a-c20-4589-9548-000000000230
29196,849,Y,2021-04-08,2033931,cc17167a-c21-4589-9548-000000000231
53078,738,N,2021-05-09,595361,cc27167a-c22-4589-9548-000000000232
96867,792,N,2021-06-10,5603431,cc37167a-c23-4589-9548-000000000233
29555,918,N,2021-07-11,6717131,cc47167a-c24-4589-9548-000000000234
34661,528,Y,2021-08-12,5460431,cc57167a-c25-4589-9548-000000000235
60370,824,Y,2021-09-13,2033931,cc67167a-c26-4589-9548-000000000236
25291,156,Y,2021-10-14,595361,cc77167a-c27-4589-9548-000000000237
88888,508,Y,2021-11-15,5603431,cc87167a-c28-4589-9548-000000000238
11344,547,Y,2021-12-16,6717131,cc97167a-c29-4589-9548-000000000239
41754,401,Y,2021-01-17,5460431,cc07167a-c20-4589-9548-000000000240
57194,850,Y,2021-02-18,2033931,cc17167a-c21-4589-9548-000000000241
29432,743,N,2021-03-19,595361,cc27167a-c22-4589-9548-000000000242
17603,101,Y,2021-04-20,5603431,cc37167a-c23-4589-9548-000000000243
15740,556,N,2021-05-21,6717131,cc47167a-c24-4589-9548-000000000244
38417,833,Y,2021-06-22,5460431,cc57167a-c25-4589-9548-000000000245
50353,523,N,2021-07-23,2033931,cc67167a-c26-4589-9548-000000000246
56013,238,N,2021-08-24,595361,cc77167a-c27-4589-9548-000000000247
20362,872,N,2021-09-25,5603431,cc87167a-c28-4589-9548-000000000248
36239,658,Y,2021-10-26,6717131,cc97167a-c29-4589-9548-000000000249
44123,422,N,2021-11-27,5460431,cc07167a-c20-4589-9548-000000000250
64472,455,Y,2021-12-28,2033931,cc17167a-c21-4589-9548-000000000251
28403,424,Y,2021-01-01,595361,cc27167a-c22-4589-9548-000000000252
96248,212,Y,2021-02-02,5603431,cc37167a-c23-4589-9548-000000000253
28320,830,Y,2021-03-03,6717131,cc47167a-c24-4589-9548-000000000254
48869,950,N,2021-04-04,5460431,cc57167a-c25-4589-9548-000000000255
87910,447,Y,2021-05-05,2033931,cc67167a-c26-4589-9548-000000000256
17917,697,N,2021-06-06,595361,cc77167a-c27-4589-9548-000000000257
18442,791,N,2021-07-07,5603431,cc87167a-c28-4589-9548-000000000258
76491,198,N,2021-08-08,6717131,cc97167a-c29-4589-9548-000000000259
84806,971,Y,2021-09-09,5460431,cc07167a-c20-4589-9548-000000000260
37763,724,N,2021-10-10,2033931,cc17167a-c21-4589-9548-000000000261
18309,234,N,2021-11-11,595361,cc27167a-c22-4589-9548-000000000262
28694,408,N,2021-12-12,5603431,cc37167a-c23-4589-9548-000000000263
64688,622,N,2021-01-13,6717131,cc47167a-c24-4589-9548-000000000264
38609,399,N,2021-02-14,5460431,cc57167a-c25-4589-9548-000000000265
90218,349,N,2021-03-15,2033931,cc67167a-c26-4589-9548-000000000266
44244,948,Y,2021-04-16,595361,cc77167a-c27-4589-9548-000000000267
77303,717,N,2021-05-17,5603431,cc87167a-c28-4589-9548-000000000268
24292,340,Y,2021-06-18,6717131,cc97167a-c29-4589-9548-000000000269
79013,936,N,2021-07-19,5460431,cc07167a-c20-4589-9548-000000000270
74680,674,N,2021-08-20,2033931,cc17167a-c21-4589-9548-000000000271
85321,713,Y,2021-09-21,595361,cc27167a-c22-4589-9548-000000000272
74953,583,Y,2021-10-22,5603431,cc37167a-c23-4589-9548-000000000273
20181,997,N,2021-11-23,6717131,cc47167a-c24-4589-9548-000000000274
36927,908,Y,2021-12-24,5460431,cc57167a-c25-4589-9548-000000000275
21783,336,N,2021-01-25,2033931,cc67167a-c26-4589-9548-000000000276
91629,42,N,2021-02-26,595361,cc77167a-c27-4589-9548-000000000277
67260,243,Y,2021-03-27,5603431,cc87167a-c28-4589-9548-000000000278
17180,684,N,2021-04-28,6717131,cc97167a-c29-4589-9548-000000000279
52484,849,N,2021-05-01,5460431,cc07167a-c20-4589-9548-000000000280
13807,310,N,2021-06-02,2033931,cc17167a-c21-4589-9548-000000000281
39958,342,Y,2021-07-03,595361,cc27167a-c22-4589-9548-000000000282
64116,74,Y,2021-08-04,5603431,cc37167a-c23-4589-9548-000000000283
72812,20,Y,2021-09-05,6717131,cc47167a-c24-4589-9548-000000000284
90352,375,Y,2021-10-06,5460431,cc57167a-c25-4589-9548-000000000285
7761,126,Y,2021-11-07,2033931,cc67167a-c26-4589-9548-000000000286
3032,778,N,2021-12-08,595361,cc77167a-c27-4589-9548-000000000287
16370,506,N,2021-01-09,5603431,cc87167a-c28-4589-9548-000000000288
49681,265,Y,2021-02-10,6717131,cc97167a-c29-4589-9548-000000000289
49940,863,Y,2021-03-11,5460431,cc07167a-c20-4589-9548-000000000290
60412,531,Y,2021-04-12,2033931,cc17167a-c21-4589-9548-000000000291
84581,524,N,2021-05-13,595361,cc27167a-c22-4589-9548-000000000292
66479,355,Y,2021-06-14,5603431,cc37167a-c23-4589-9548-000000000293
38320,575,N,2021-07-15,6717131,cc47167a-c24-4589-9548-000000000294
3425,772,Y,2021-08-16,5460431,cc57167a-c25-4589-9548-000000000295
92772,317,Y,2021-09-17,2033931,cc67167a-c26-4589-9548-000000000296
57326,55,N,2021-10-18,595361,cc77167a-c27-4589-9548-000000000297
17268,18,Y,2021-11-19,5603431,cc87167a-c28-4589-9548-000000000298
62154,185,N,2021-12-20,6717131,cc97167a-c29-4589-9548-000000000299
16850,607,N,2021-01-21,5460431,cc07167a-c20-4589-9548-000000000300
19850,207,N,2021-02-22,2033931,cc17167a-c21-4589-9548-000000000301
75396,201,Y,2021-03-23,595361,cc27167a-c22-4589-9548-000000000302
66789,592,Y,2021-04-24,5603431,cc37167a-c23-4589-9548-000000000303
24294,212,Y,2021-05-25,6717131,cc47167a-c24-4589-9548-000000000304
85677,393,N,2021-06-26,5460431,cc57167a-c25-4589-9548-000000000305
73157,402,Y,2021-07-27,2033931,cc67167a-c26-4589-9548-000000000306
13239,823,Y,2021-08-28,595361,cc77167a-c27-4589-9548-000000000307
59433,313,Y,2021-09-01,5603431,cc87167a-c28-4589-9548-000000000308
43687,694,Y,2021-10-02,6717131,cc97167a-c29-4589-9548-000000000309
84426,951,N,2021-11-03,5460431,cc07167a-c20-4589-9548-000000000310
76280,198,N,2021-12-04,2033931,cc17167a-c21-4589-9548-000000000311
7087,974,Y,2021-01-05,595361,cc27167a-c22-4589-9548-000000000312
35750,713,Y,2021-02-06,5603431,cc37167a-c23-4589-9548-000000000313
95740,392,Y,2021-03-07,6717131,cc47167a-c24-4589-9548-000000000314
53455,618,Y,2021-04-08,5460431,cc57167a-c25-4589-9548-000000000315
92264,900,N,2021-05-09,2033931,cc67167a-c26-4589-9548-000000000316
30586,42,N,2021-06-10,595361,cc77167a-c27-4589-9548-000000000317
53428,259,Y,2021-07-11,5603431,cc87167a-c28-4589-9548-000000000318
47637,265,Y,2021-08-12,6717131,cc97167a-c29-4589-9548-000000000319
63395,944,Y,2021-09-13,5460431,cc07167a-c20-4589-9548-000000000320
9537,169,Y,2021-10-14,2033931,cc17167a-c21-4589-9548-000000000321
43318,463,N,2021-11-15,595361,cc27167a-c22-4589-9548-000000000322
91147,203,N,2021-12-16,5603431,cc37167a-c23-4589-9548-000000000323
83657,354,Y,2021-01-17,6717131,cc47167a-c24-4589-9548-000000000324
51599,624,N,2021-02-18,5460431,cc57167a-c25-4589-9548-000000000325
672,567,Y,2021-03-19,2033931,cc67167a-c26-4589-9548-000000000326
12532,780,Y,2021-04-20,595361,cc77167a-c27-4589-9548-000000000327
62630,463,Y,2021-05-21,5603431,cc87167a-c28-4589-9548-000000000328
33935,599,N,2021-06-22,6717131,cc97167a-c29-4589-9548-000000000329
80887,453,Y,2021-07-23,5460431,cc07167a-c20-4589-9548-000000000330
13793,148,N,2021-08-24,2033931,cc17167a-c21-4589-9548-000000000331
21507,91,Y,2021-09-25,595361,cc27167a-c22-4589-9548-000000000332
9249,976,Y,2021-10-26,5603431,cc37167a-c23-4589-9548-000000000333
5251,730,Y,2021-11-27,6717131,cc47167a-c24-4589-9548-000000000334
76222,984,N,2021-12-28,5460431,cc57167a-c25-4589-9548-000000000335
44387,451,N,2021-01-01,2033931,cc67167a-c26-4589-9548-000000000336
92338,957,Y,2021-02-02,595361,cc77167a-c27-4589-9548-000000000337
76170,157,Y,2021-03-03,5603431,cc87167a-c28-4589-9548-000000000338
51974,932,Y,2021-04-04,6717131,cc97167a-c29-4589-9548-000000000339
49338,997,N,2021-05-05,5460431,cc07167a-c20-4589-9548-000000000340
54933,928,N,2021-06-06,2033931,cc17167a-c21-4589-9548-000000000341
56891,10,Y,2021-07-07,595361,cc27167a-c22-4589-9548-000000000342
21329,654,Y,2021-08-08,5603431,cc37167a-c23-4589-9548-000000000343
72320,674,N,2021-09-09,6717131,cc47167a-c24-4589-9548-000000000344
74239,745,Y,2021-10-10,5460431,cc57167a-c25-4589-9548-000000000345
35907,580,Y,2021-11-11,2033931,cc67167a-c26-4589-9548-000000000346
81769,377,Y,2021-12-12,595361,cc77167a-c27-4589-9548-000000000347
39427,334,Y,2021-01-13,5603431,cc87167a-c28-4589-9548-000000000348
12900,555,N,2021-02-14,6717131,cc97167a-c29-4589-9548-000000000349
81012,936,Y,2021-03-15,5460431,cc07167a-c20-4589-9548-000000000350
45857,324,N,2021-04-16,2033931,cc17167a-c21-4589-9548-000000000351
90908,428,Y,2021-05-17,595361,cc27167a-c22-4589-9548-000000000352
76043,239,N,2021-06-18,5603431,cc37167a-c23-4589-9548-000000000353
18888,430,N,2021-07-19,6717131,cc47167a-c24-4589-9548-000000000354
12400,23,N,2021-08-20,5460431,cc57167a-c25-4589-9548-000000000355
1465,463,Y,2021-09-21,2033931,cc67167a-c26-4589-9548-000000000356
79786,331,Y,2021-10-22,595361,cc77167a-c27-4589-9548-000000000357
6477,957,Y,2021-11-23,5603431,cc87167a-c28-4589-9548-000000000358
38573,625,N,2021-12-24,6717131,cc97167a-c29-4589-9548-000000000359
94727,278,Y,2021-01-25,5460431,cc07167a-c20-4589-9548-000000000360
36309,906,Y,2021-02-26,2033931,cc17167a-c21-4589-9548-000000000361
13251,102,N,2021-03-27,595361,cc27167a-c22-4589-9548-000000000362
56289,14,N,2021-04-28,5603431,cc37167a-c23-4589-9548-000000000363
